dates,globrad_MJDayM2,tmax_degC,tmin_degC,vappres_kPa,windspeed_ms,prec_mmDay
YYYY-MM-DD,MJ/Day/m2,degree C,degree C,kPa,m per s,mm per day
2021-01-01,5.53,0.9,-10.1,0.26,1.5,0
2021-01-02,5.1,-0.6,-9.3,0.3,1.6,0
2021-01-03,4.92,0.4,-8.9,0.28,1.6,0
2021-01-04,6.57,-1.9,-10.8,0.22,1.3,0
2021-01-05,5.36,-3.1,-11.4,0.22,1.6,0
2021-01-06,3.46,-7,-11.2,0.24,1.9,0.7
2021-01-07,7.08,-7.6,-15.3,0.17,1.1,0
2021-01-08,7.26,-6.6,-15.7,0.15,1.5,0
2021-01-09,6.65,-6.1,-16.4,0.14,1.1,0
2021-01-10,7.52,-5.6,-17.2,0.12,1.2,0
2021-01-11,7.6,-4.8,-16.9,0.11,1.3,0
2021-01-12,3.54,-1.6,-9.5,0.26,1.5,9.5
2021-01-13,4.15,-2.2,-6,0.34,4.3,34.6
2021-01-14,1.21,-1.1,-5.6,0.39,4.5,26.2
2021-01-15,2.16,-3.3,-11.9,0.34,2.6,1.2
2021-01-16,8.12,-8.9,-18.8,0.15,1.3,0.3
2021-01-17,2.25,-4.1,-11,0.31,2.2,5.4
2021-01-18,5.01,-4.6,-13.2,0.26,1.8,0.1
2021-01-19,7.95,-1.5,-13.4,0.27,2.1,0
2021-01-20,9.07,1.4,-10.8,0.32,1.9,0
2021-01-21,4.06,3.1,-3.6,0.46,3.2,0.3
2021-01-22,6.48,5.5,-2.9,0.54,2.4,4.7
2021-01-23,5.79,-0.8,-9.3,0.31,3,0
2021-01-24,7.52,-4.6,-14.6,0.19,2,0.3
2021-01-25,4.32,-6,-13.8,0.23,2.4,6.4
2021-01-26,3.8,-7.7,-11.8,0.23,2.4,0.7
2021-01-27,2.33,-4.9,-14,0.25,1,15.2
2021-01-28,1.64,1.1,-5,0.51,1.4,24.4
2021-01-29,3.11,1.1,-1.5,0.56,2.1,22.7
2021-01-30,5.1,0.7,-3.7,0.51,1.5,5.4
2021-01-31,6.22,1.1,-4.8,0.5,1.4,0.3
2021-02-01,7.26,2.5,-4.9,0.48,1.7,2.3
2021-02-02,5.96,2.8,-3.7,0.55,1.5,0
2021-02-03,5.1,6,-1.6,0.58,1.9,0
2021-02-04,9.76,5.4,-4.6,0.46,1.2,0
2021-02-05,10.28,7.6,-4,0.48,1.9,0
2021-02-06,6.31,7.4,-1.9,0.49,2.3,0
2021-02-07,2.94,5.1,-4.7,0.55,3.8,12.3
2021-02-08,10.71,-1,-10.5,0.29,1.6,0
2021-02-09,11.15,0.1,-9.6,0.34,2.1,0.6
2021-02-10,4.49,-0.2,-6.2,0.44,3.1,2.9
2021-02-11,9.59,-5.8,-15.2,0.21,4,0.2
2021-02-12,12.01,-2.7,-16,0.18,1.4,0
2021-02-13,12.61,-8,-17.8,0.15,2.1,0
2021-02-14,12.96,-4.1,-18.3,0.12,1.7,0
2021-02-15,10.28,3.3,-12.2,0.26,1.3,4.3
2021-02-16,7,4.8,-1.8,0.59,1.2,1.6
2021-02-17,11.32,3.5,-5.2,0.43,2.8,0
2021-02-18,9.59,6.8,-7.1,0.29,2.1,0
2021-02-19,12.7,7.6,-2.9,0.39,1.9,0
2021-02-20,13.65,8.7,-4.5,0.37,2.2,0
2021-02-21,14.34,11.6,-4.2,0.32,2,0
2021-02-22,10.8,8.6,-5.4,0.34,1.7,0
2021-02-23,12.7,10.8,-1.2,0.51,0.8,0
2021-02-24,13.65,11.1,-1.4,0.46,1.3,0
2021-02-25,15.29,11.8,-2.5,0.37,1.3,0
2021-02-26,14.52,9.3,-3.4,0.37,1.5,0
2021-02-27,12.1,2.5,-2.3,0.56,3.6,0
2021-02-28,16.16,7.5,-5.5,0.35,1.7,0
2021-03-01,16.5,8.7,-6.5,0.26,1.3,0
2021-03-02,16.68,9.4,-5.2,0.28,1.4,0
2021-03-03,9.68,7.6,-4.1,0.31,1.1,0
2021-03-04,11.32,7.1,-3.1,0.36,2.2,2
2021-03-05,7.6,1.4,-4.7,0.49,3.7,0.4
2021-03-06,16.68,4.5,-8.5,0.31,2.4,0
2021-03-07,13.56,3.9,-6.4,0.37,2.4,0.5
2021-03-08,10.63,1.4,-5.9,0.41,2.3,0.6
2021-03-09,9.76,0.2,-6.7,0.32,2.5,0
2021-03-10,15.29,0.7,-5.9,0.29,2,0
2021-03-11,13.82,10.6,-5.2,0.39,2.4,4.5
2021-03-12,18.32,2.6,-4.9,0.42,2.6,0
2021-03-13,18.23,6.9,-6,0.33,3.4,4.3
2021-03-14,9.68,-1.9,-5.3,0.34,4.6,11.9
2021-03-15,5.53,-2.2,-5.5,0.37,2.5,16.9
2021-03-16,10.11,-3.4,-6.5,0.31,3.4,3.4
2021-03-17,10.71,-2,-7.9,0.33,2,2.6
2021-03-18,17.11,-4.1,-11.9,0.25,2.4,0.2
2021-03-19,20.56,-3.3,-14.2,0.21,1.8,0.4
2021-03-20,17.71,-4.8,-15,0.19,2.3,0
2021-03-21,13.31,-3.6,-14.9,0.26,3.6,0.8
2021-03-22,16.07,-1.2,-6.7,0.31,3.9,0
2021-03-23,20.82,2.4,-9.1,0.29,2,0
2021-03-24,21.51,6.6,-8.6,0.31,1.5,0
2021-03-25,21.43,8.5,-5.2,0.35,1.6,0
2021-03-26,20.3,9.8,-4.5,0.38,2.3,0
2021-03-27,7.69,1.4,-2.7,0.51,3.7,1.9
2021-03-28,21.6,7.9,-5,0.36,1.9,0
2021-03-29,21.51,12.2,-3.4,0.37,1.3,0
2021-03-30,22.03,15.4,-1.1,0.45,1,0
2021-03-31,22.64,14.5,-1.3,0.44,1,0
2021-04-01,22.38,13.5,-0.7,0.53,1.5,5.4
2021-04-02,20.3,11.7,1.5,0.67,3,0
2021-04-03,21.08,4,-4.5,0.44,4.6,0
2021-04-04,23.5,5.3,-6.7,0.33,2,0
2021-04-05,20.22,9.7,-5.5,0.37,3.6,1.1
2021-04-06,17.88,-5.4,-9.3,0.23,4.1,2.4
2021-04-07,13.82,-6.4,-10.1,0.22,3.1,2.2
2021-04-08,23.24,1.6,-8.8,0.26,1.5,0
2021-04-09,21.08,7.7,-6.4,0.32,3.3,0
2021-04-10,13.56,6.4,-2.4,0.44,3,0
2021-04-11,15.03,9.6,1.2,0.52,2.4,1.1
2021-04-12,6.39,2.5,-5.9,0.42,4.3,6.2
2021-04-13,20.04,-1.3,-8.1,0.29,3.5,0.1
2021-04-14,23.85,-0.4,-10.8,0.26,3.1,0
2021-04-15,20.22,-0.1,-7.8,0.31,3.5,0
2021-04-16,26.7,3.6,-9.9,0.27,2.4,0
2021-04-17,25.23,3.7,-7.9,0.34,3.4,0
2021-04-18,16.93,2.8,-3.3,0.44,3.8,0.1
2021-04-19,18.66,4,-2.7,0.45,3.5,0
2021-04-20,21,7.1,-3.2,0.4,1.9,0
2021-04-21,21.43,9.3,-3.3,0.43,1.6,3.7
2021-04-22,20.91,8.1,-2.4,0.54,1.7,0
2021-04-23,27.22,10,-2.6,0.43,1.8,0
2021-04-24,27.39,12.5,-2.7,0.43,2.3,0
2021-04-25,22.55,11.2,0.1,0.51,2.4,0
2021-04-26,9.33,9.3,0.5,0.61,1.2,2.6
2021-04-27,22.12,11.9,-0.1,0.57,1.4,0
2021-04-28,16.59,11.4,0.5,0.6,2,0
2021-04-29,11.84,10.1,1.7,0.7,3.3,5.3
2021-04-30,17.37,11.8,0.7,0.71,3.3,0.1
2021-05-01,12.44,9.2,0.2,0.74,3.9,15.7
2021-05-02,19.7,2.5,-1.1,0.54,4.3,0.7
2021-05-03,27.56,7.1,-2.1,0.45,2.4,0
2021-05-04,21.69,10.9,-2.2,0.45,3.2,0
2021-05-05,8.47,6.6,-2.2,0.54,3.7,3.8
2021-05-06,16.42,8.9,-1.9,0.54,3.1,1.7
2021-05-07,17.54,6.1,-2,0.56,3.8,2.3
2021-05-08,28.77,14.1,-3.7,0.45,2.3,0
2021-05-09,26.96,18,1.9,0.59,3.3,0
2021-05-10,18.58,16.1,7.2,0.72,4.5,0.7
2021-05-11,11.32,11.5,1.1,0.81,4,11.9
2021-05-12,18.84,7.4,1.5,0.68,4.1,0.5
2021-05-13,10.45,7.6,1.1,0.63,3.4,0.6
