time,SWATI_mm_30mm,SWATI_mm_100mm,SWATI_mm_400mm,SWATI_mm_800mm,SWATI_mm_1100mm,δ18O_permil_30mm,δ18O_permil_100mm,δ18O_permil_400mm,δ18O_permil_800mm,δ18O_permil_1100mm,δ2H_permil_30mm,δ2H_permil_100mm,δ2H_permil_400mm,δ2H_permil_800mm,δ2H_permil_1100mm,θ_m3m3_30mm,θ_m3m3_100mm,θ_m3m3_400mm,θ_m3m3_800mm,θ_m3m3_1100mm,ψ_kPa_30mm,ψ_kPa_100mm,ψ_kPa_400mm,ψ_kPa_800mm,ψ_kPa_1100mm
0.0,5.08407918140519,8.987008653999073,38.51575137428175,20.541734066283595,15.406300549712698,-13.0,-13.0,-13.0,-13.0,-13.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.20541734066283596,0.20541734066283596,0.20541734066283596,0.20541734066283596,0.20541734066283596,-6.300000000000002,-6.300000000000002,-6.300000000000002,-6.300000000000002,-6.300000000000002
30.0,5.534983552424663,9.989468072902813,45.48225152853928,23.289462955517486,16.99402776700246,-16.729043041975892,-16.05611998550442,-14.539361206919533,-13.275637372236949,-13.01932325693424,-124.29564572877254,-119.19550449093376,-107.24136842953497,-97.23409149306258,-95.16048472295266,0.22363569908786518,0.2283306988092072,0.24257200815220947,0.23289462955517487,0.22658703689336615,-4.302510759905872,-3.9133511016816493,-2.9548658399622103,-3.5728349241910493,-4.05300998503793
60.0,5.711573265422016,10.30889641303027,47.248722259943584,26.43666532016636,22.61728242975328,-12.977579687588602,-13.757464313204835,-14.985062849729175,-15.354407561168587,-15.148885814324231,-89.62503128383922,-97.04337190137271,-108.88449190189894,-112.93189840870545,-111.71757312334117,0.2307706369867481,0.23563191801212047,0.2519931853863657,0.26436665320166364,0.30156376573004373,-3.7269699248084414,-3.384620511946219,-2.4639220246523337,-1.9464124858567187,-0.9478578960132198
90.0,6.7226689973575455,12.245703717689635,56.405658937000794,32.798945321425165,23.96820530764843,-14.322221026768068,-14.285899868822462,-14.222414252118547,-14.299966085689562,-14.557534974513112,-101.31557061536111,-101.01584177241256,-100.70701532608004,-101.91041176292094,-104.86736366506447,0.27162298979222405,0.2799017992614774,0.3008301809973375,0.32798945321425166,0.31957607076864564,-1.695921219086228,-1.448465722994282,-0.962019038850867,-0.5302763436158345,-0.6461743406137889
120.0,4.758665501496829,8.542579121610085,38.21222717776804,21.337761156272524,17.33365331105638,-14.837897027766076,-14.641792076206384,-14.456770831804095,-14.321942374559525,-14.309807837645222,-107.29887608884992,-105.90337765280353,-103.48646863446407,-101.86208829896282,-101.61838383670556,0.19226931319179105,0.19525895135108767,0.2037985449480962,0.21337761156272525,0.2311153774807517,-8.433948399271523,-7.881559354613146,-6.524977143308621,-5.317654817230997,-3.701452235059309
150.0,4.480147249132398,8.071749636021124,37.92767295781241,22.870890361017235,19.784932051164365,-12.823315356455378,-13.374286413296725,-14.283405113130101,-14.632387998578047,-14.68523779151617,-91.96834197290566,-96.30708769739375,-103.09556178768815,-105.39026197803292,-105.413689071612,0.1810160504699959,0.18449713453762573,0.2022809224416662,0.2287089036101724,0.2637990940155248,-10.975075610909213,-10.101342853623605,-6.744536013928685,-3.883783287146694,-1.967502556528511
180.0,3.7926828974157667,6.43528261863625,24.13826058285147,13.473764928927789,11.554920215980346,-7.943876659269426,-8.914318943963337,-11.387772620269068,-14.846876474488043,-14.668694587361847,-54.43130296432827,-62.29956128044355,-81.2783264778071,-106.89677392468627,-105.31933834767042,0.15323971302689965,0.14709217414025713,0.12873738977520782,0.1347376492892779,0.15406560287973792,-22.539791971776825,-26.872194158617248,-47.552061565988666,-39.13318907775451,-22.02502680780057
210.0,5.488047696225465,9.981890465118662,47.87483581965924,27.983662680185915,22.556425477171693,-8.876374825842923,-8.999527402475193,-9.453260878539654,-10.249661277735909,-11.197339532169162,-64.39609027539483,-64.97614082380014,-67.27671874004047,-72.27455028126134,-78.93593652832331,0.2217393008575945,0.22815749634556945,0.25533245770484925,0.27983662680185917,0.30075233969562254,-4.472077789010954,-3.926976952633071,-2.3114986192027316,-1.4502723478396216,-0.9635315009018675
240.0,5.045446772632849,9.010008008768796,39.74580555859136,22.4569469762934,18.638598286076437,-8.850991662312083,-8.532722672464004,-8.751826065458587,-8.98346590749541,-9.21503383412599,-56.54037126862688,-53.962778994809085,-56.69261303283765,-59.54993015378756,-62.11378277830388,0.20385643525789285,0.20594304020042964,0.21197762964582056,0.22456946976293402,0.24851464381435248,-6.516770235328897,-6.228910886397048,-5.476672437446695,-4.221725893909072,-2.634113989955969
270.0,4.9149517653082055,8.835685095813016,39.56926050674124,21.522304267613777,16.864181968752753,-10.446296256022332,-10.372547351753884,-9.939848779147137,-9.37248758126175,-9.196649800099447,-72.06908332132723,-71.03783815370358,-67.05718192582535,-62.35963597871051,-61.346362271933735,0.19858390970942247,0.20195851647572613,0.21103605603595327,0.21522304267613776,0.22485575958337,-7.316967076507069,-6.792295369276448,-5.586739105468632,-5.116169532640912,-4.197305305205137
300.0,3.9580555968716187,7.071268922376882,31.882916677809074,18.922548277670295,15.616557670040402,-10.70718981770352,-10.566618999642369,-10.1680400380079,-9.67017928116493,-9.421053969619232,-74.8980915600124,-73.55366282896668,-69.5255117130883,-65.03586946136853,-63.03585276386902,0.15992143825743915,0.16162900394004304,0.17004222228164836,0.18922548277670292,0.208220768933872,-18.75892932722408,-17.919888673260303,-14.39462476235892,-9.044481367025423,-5.931577283014068
