dates,PREC_d18O,GWAT_d18O,INTS_d18O,INTR_d18O,SNOW_d18O,RWU_d18O,XYLEM_d18O,PREC_d2H,GWAT_d2H,INTS_d2H,INTR_d2H,SNOW_d2H,RWU_d2H,XYLEM_d2H
2021-01-01T00:00:00.0,-15.04,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-111.96,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
2021-01-31T00:00:00.0,-18.86,-13.007995328031633,-18.86,-18.86,-18.86,NaN,-13.008522430191835,-139.79,-95.0672250339957,-139.79,-139.79,-139.79,NaN,-95.07202393076425
2021-03-02T00:00:00.0,-10.11,-15.139174247992354,-10.11,-10.11,-10.11,-14.441957097205748,-13.578268017968488,-62.4,-111.65767960898924,-62.4,-62.4,-62.4,-103.7210091122639,-99.48138325371897
2021-04-01T00:00:00.0,-14.42,-14.592536643288,-14.42,-14.42,-14.42,-14.264015726004997,-13.69993380932398,-102.2,-105.26327049304383,-102.2,-102.2,-102.2,-101.05971833545568,-99.47910847797004
2021-05-01T00:00:00.0,-15.66,-14.309414650329487,-15.66,-15.66,-15.66,-14.536852382810883,-13.979773359632446,-109.29,-101.60918640802721,-109.29,-109.29,-109.29,-104.37766613585796,-101.0138245316495
2021-05-31T00:00:00.0,-10.43,-14.68701285347396,-10.43,-10.43,-10.43,-13.941802429126238,-14.301264383175145,-72.59,-105.41356481382276,-72.59,-72.59,-72.59,-100.46612046826309,-103.07823305932149
2021-06-30T00:00:00.0,-6.87,-14.675483289111138,-6.87,-6.87,-6.87,-11.411915470383004,-12.462477575027416,-45.57,-105.38610923054861,-45.57,-45.57,-45.57,-81.23537004669656,-89.75712008632372
2021-07-30T00:00:00.0,-9.53,-11.272037509239,-8.63,-8.63,-8.63,-9.397758046357229,-10.426907014484257,-64.03,-79.46463793211738,-63.31,-63.31,-63.31,-67.16478950837302,-73.63163299021954
2021-08-29T00:00:00.0,-12.51,-9.225511636643597,-12.51,-12.51,-12.51,-8.742368010377199,-9.169234625198143,-88.72,-62.22968581064818,-88.72,-88.72,-88.72,-56.39807913354322,-61.27877809578184
2021-09-28T00:00:00.0,-10.6,-9.183584458878665,-10.6,-10.6,-10.6,-10.034236483284499,-9.735358893789224,-75.17,-61.28180505579868,-75.17,-75.17,-75.17,-68.05106525330906,-65.2578513534359
