dates,delta18O_permil,delta2H_permil
YYYY-MM-DD,permil,permil
2020-12-16,-15.04,-111.96
2021-01-13,-15.04,-111.96
2021-01-27,-15.04,-111.96
2021-02-10,-15.04,-111.96
2021-02-24,-15.04,-111.96
2021-03-10,-15.04,-111.96
2021-03-25,-15.04,-111.96
2021-04-10,-15.04,-111.96
2021-04-22,-15.04,-111.96
2021-05-06,-15.04,-111.96
2021-05-20,-15.04,-111.96
2021-06-03,-15.04,-111.96
2021-06-17,-15.04,-111.96
2021-07-01,-15.04,-111.96
2021-07-15,-15.04,-111.96
2021-07-29,-15.04,-111.96
2021-08-11,-15.04,-111.96
2021-08-26,-15.04,-111.96
2021-09-09,-15.04,-111.96
2021-09-22,-15.04,-111.96
2021-10-07,-15.04,-111.96
2021-10-21,-15.04,-111.96
2021-11-04,-15.04,-111.96
