dates,delta18O_permil,delta2H_permil
YYYY-MM-DD,permil,permil
2024-01-01,-18.5071242118943,-137.111751837169
2024-01-02,-16.4736928436067,-125.382870090052
2024-01-03,-15.28370228629,-117.358867659594
2024-01-04,-17.5904977641389,-132.303324429101
2024-01-05,-17.7677275671932,-134.849419128461
2024-01-06,-18.3471877392002,-138.174713295291
2024-01-07,-17.9940543255291,-135.674470433229
2024-01-08,-18.826353269922,-138.002327309424
2024-01-09,-18.5487022022001,-136.262747074028
2024-01-10,-16.8837228871859,-127.756175303209
2024-01-11,-19.0102579074622,-136.606761639675
2024-01-12,-18.6879534737758,-132.700180531061
2024-01-13,-18.2461403766352,-129.84386988278
2024-01-14,-15.926063846558,-120.944153417872
2024-01-15,-17.7047828779199,-133.399209700848
2024-01-16,-17.2761842997371,-128.666243216072
2024-01-17,-17.6150274549059,-133.226838175077
2024-01-18,-18.4109394606472,-138.782122139449
2024-01-19,-17.0571998410742,-127.213453864991
2024-01-20,-17.3386090601377,-124.499740621402
2024-01-21,-16.3039069321849,-122.653653007055
2024-01-22,-14.9772304680862,-114.836557273181
2024-01-23,-17.7443605103811,-133.392646587103
2024-01-24,-15.2910127133245,-117.973624288012
2024-01-25,-14.3422309862066,-112.496179813725
2024-01-26,-15.7526059645096,-120.289436495678
2024-01-27,-17.5128686665637,-133.030573141911
2024-01-28,-16.3075211708477,-124.861694556168
2024-01-29,-15.7742273127859,-120.132939514166
2024-01-30,-16.1622089595693,-122.470924919891
2024-01-31,-15.0868267026909,-115.234352760768
2024-02-01,-16.8206432086754,-127.649601924188
2024-02-02,-17.5711847783145,-132.551618199683
2024-02-03,-16.2757828004509,-124.05234503107
2024-02-04,-15.2509437951713,-117.556783614106
2024-02-05,-15.0321935235568,-116.794517119166
2024-02-06,-15.5735156922164,-119.363330466068
2024-02-07,-16.5504320582812,-125.58617466246
2024-02-08,-16.0321473004234,-122.925175418951
2024-02-09,-16.7348717724781,-126.539922441109
2024-02-10,-15.4888391654748,-114.80001216046
2024-02-11,-17.2993348361352,-130.44639847508
2024-02-12,-15.5419360781921,-118.498243543171
2024-02-13,-15.4583693800761,-118.210344424031
2024-02-14,-14.2618331841057,-111.361377545251
2024-02-15,-13.4983905066418,-104.440713827469
2024-02-16,-14.8870228635473,-113.404683330649
