dates,globrad_MJDayM2,tmax_degC,tmin_degC,vappres_kPa,windspeed_ms,prec_mmDay,densef_percent,height_percent,lai_percent,sai_percent
YYYY-MM-DD,MJ/Day/m2,degree C,degree C,kPa,m per s,mm per day,percent,percent,percent,percent
2023-12-31,1.49394,2.76309,-1.08073,0.63122,0.34663,0,100,100,43.63359,100
2024-01-01,2.94537,6.16973,-0.79435,0.62997,0.21565,7.972,100,100,43.63359,100
2024-01-02,1.10744,8.42525,-0.10393,0.75705,0.44377,5.632,100,100,43.63359,100
2024-01-03,2.90164,7.46411,2.35671,0.76176,0.34128,1.664,100,100,43.63359,100
2024-01-04,1.27093,5.56909,0.78197,0.68458,0.24576,7.266,100,100,43.63359,100
2024-01-05,2.65719,4.93238,0.90803,0.68547,0.29059,0.376,100,100,43.63359,100
2024-01-06,2.95095,4.87435,0.28725,0.61402,0.3698,0,100,100,43.63359,100
2024-01-07,2.56352,2.2779,-1.19033,0.52462,0.27129,0.005,100,100,43.63359,100
2024-01-08,2.75871,2.38191,-1.6171,0.4993,0.19065,0,100,100,43.63359,100
2024-01-09,2.78769,4.02185,-2.78037,0.54105,0.35883,0,100,100,43.63359,100
2024-01-10,0.72613,0.43536,-3.05584,0.48814,0.42081,0,100,100,43.63359,100
2024-01-11,1.03534,-1.1561,-5.1236,0.4617,0.34897,0,100,100,43.63359,100
2024-01-12,0.5454,-1.65588,-6.01913,0.38749,0.55878,0,100,100,43.63359,100
2024-01-13,2.64558,2.33207,-5.76659,0.38413,0.31235,0.018,100,100,43.63359,100
2024-01-14,1.75241,3.96368,-1.11532,0.58501,0.33182,1.06,100,100,43.63359,100
2024-01-15,2.79473,2.56256,-3.78822,0.46813,0.37061,0,100,100,43.63359,100
2024-01-16,2.72783,5.99628,0.86719,0.73711,0.29893,20.346,100,100,43.63359,100
2024-01-17,1.97236,5.96987,2.1428,0.83423,0.34672,16.32,100,100,43.63359,100
2024-01-18,1.5033,2.04353,-4.51403,0.47601,0.63529,0,100,100,43.63359,100
2024-01-19,0.75194,-1.9268,-7.28332,0.32042,0.40903,0,100,100,43.63359,100
2024-01-20,3.36762,2.17813,-5.48336,0.36526,0.41243,0,100,100,43.63359,100
2024-01-21,3.53404,7.07993,-2.60123,0.52777,0.35626,7.603,100,100,43.63359,100
2024-01-22,2.52973,7.52683,2.733,0.74727,0.41396,0.955,100,100,43.63359,100
