dates,globrad_MJDayM2,tmax_degC,tmin_degC,vappres_kPa,windspeed_ms,prec_mmDay,densef_,height_m,lai_,sai_,age_yrs
YYYY-MM-DD,MJ/Day/m2,degree C,degree C,kPa,m per s,mm per day,-,m,-,-,years
2010-01-01,3.45,1.85,-6.39,0.43,2.87,0.2,1,23,1.752,1,200
2010-01-02,7.26,-6.98,-14.09,0.21,3.6,0,1,23,1.752,1,200.00275
2010-01-03,5.21,-1.84,-13.02,0.13,1.86,0,1,23,1.752,1,200.00549
2010-01-04,1.17,-5.19,-8.46,0.29,0.98,0,1,23,1.752,1,200.00824
2010-01-05,6.34,2.28,-5.45,0.38,1.5,1.2,1,23,1.752,1,200.01099
2010-01-06,3.68,-3.37,-10.53,0.31,1.02,0,1,23,1.752,1,200.01374
2010-01-07,5.06,-1.84,-10.9,0.21,1.21,0,1,23,1.752,1,200.01648
2010-01-08,1.6,-8.36,-9.97,0.26,0.72,0,1,23,1.752,1,200.01923
2010-01-09,1.01,-9.87,-12.11,0.23,0.23,0,1,23,1.752,1,200.02198
2010-01-10,1.62,-8.01,-12.73,0.23,0.02,0,1,23,1.752,1,200.02473
2010-01-11,8.08,2.8,-8.32,0.33,0.95,0.8,1,23,1.752,1,200.02747
2010-01-12,8.92,3.85,-6.67,0.32,2.21,1.2,1,23,1.752,1,200.03022
2010-01-13,2.28,-1.19,-5.08,0.38,2.25,0,1,23,1.752,1,200.03297
2010-01-14,5.53,2.28,-5.6,0.3,2.77,0.6,1,23,1.752,1,200.03571
2010-01-15,6.49,2.34,-3.92,0.3,2.02,0.6,1,23,1.752,1,200.03846
2010-01-16,6.32,8.85,-2.65,0.24,2.69,0.2,1,23,1.752,1,200.04121
2010-01-17,6.44,0.85,-4.01,0.44,3.11,1,1,23,1.752,1,200.04396
2010-01-18,9.78,3.17,-5.66,0.29,2.31,0,1,23,1.752,1,200.0467
2010-01-19,9.81,6.88,-2.79,0.2,1.79,0,1,23,1.752,1,200.04945
2010-01-20,7.91,4.96,-3.87,0.3,1.58,0,1,23,1.752,1,200.0522
2010-01-21,10.33,1.75,-7.33,0.4,1.87,1.8,1,23,1.752,1,200.05495
2010-01-22,10.29,4.09,-7.38,0.3,2.26,1,1,23,1.752,1,200.05769
2010-01-23,10,7.67,-2.23,0.19,1.95,0.2,1,23,1.752,1,200.06044
2010-01-24,8.07,4.49,-3.54,0.22,1.26,0,1,23,1.752,1,200.06319
2010-01-25,2.97,-1.3,-6.69,0.38,0.92,0,1,23,1.752,1,200.06593
2010-01-26,0.63,-5.93,-10.42,0.31,0.68,0,1,23,1.752,1,200.06868
2010-01-27,7.72,1.3,-11.57,0.27,1.19,1.4,1,23,1.752,1,200.07143
