#Data produced with Piso.AI v.1.01 and downloaded on 2021-10-16.
#Please cite Nelson/Basler/Kahmen (PNAS 2021 Vol. 118 No. 26 e2024107118) when using these data. 
#Prediction errors: d18O +/- 1.7  d2H +/- 13
"","Site","Date","Latitude","Longitude","Elevation","d18O.Piso.AI","d2H.Piso.AI"
"1","Piso.AI.Site",2010-01-15,46.70022,7.76755,1540,-15.9,-121
"2","Piso.AI.Site",2010-02-15,46.70022,7.76755,1540,-14.9,-110
"3","Piso.AI.Site",2010-03-15,46.70022,7.76755,1540,-12.2,-93
"4","Piso.AI.Site",2010-04-15,46.70022,7.76755,1540,-10.5,-73
"5","Piso.AI.Site",2010-05-15,46.70022,7.76755,1540,-10,-72
"6","Piso.AI.Site",2010-06-15,46.70022,7.76755,1540,-8.7,-60
"7","Piso.AI.Site",2010-07-15,46.70022,7.76755,1540,-6.9,-42
"8","Piso.AI.Site",2010-08-15,46.70022,7.76755,1540,-8.5,-55
"9","Piso.AI.Site",2010-09-15,46.70022,7.76755,1540,-9.3,-64
"10","Piso.AI.Site",2010-10-15,46.70022,7.76755,1540,-13.2,-92
"11","Piso.AI.Site",2010-11-15,46.70022,7.76755,1540,-15.7,-113
"12","Piso.AI.Site",2010-12-15,46.70022,7.76755,1540,-15.1,-113
"13","Piso.AI.Site",2011-01-15,46.70022,7.76755,1540,-13.4,-96
"14","Piso.AI.Site",2011-02-15,46.70022,7.76755,1540,-12.7,-93
"15","Piso.AI.Site",2011-03-15,46.70022,7.76755,1540,-10.1,-76
"16","Piso.AI.Site",2011-04-15,46.70022,7.76755,1540,-7.9,-57
"17","Piso.AI.Site",2011-05-15,46.70022,7.76755,1540,-7.7,-46
"18","Piso.AI.Site",2011-06-15,46.70022,7.76755,1540,-7,-50
"19","Piso.AI.Site",2011-07-15,46.70022,7.76755,1540,-8,-53
"20","Piso.AI.Site",2011-08-15,46.70022,7.76755,1540,-6.1,-41
"21","Piso.AI.Site",2011-09-15,46.70022,7.76755,1540,-7.7,-50
"22","Piso.AI.Site",2011-10-15,46.70022,7.76755,1540,-9.9,-61
"23","Piso.AI.Site",2011-11-15,46.70022,7.76755,1540,-10.6,-76
"24","Piso.AI.Site",2011-12-15,46.70022,7.76755,1540,-11.7,-83
"25","Piso.AI.Site",2012-01-15,46.70022,7.76755,1540,-12.2,-89
"26","Piso.AI.Site",2012-02-15,46.70022,7.76755,1540,-13.4,-101
"27","Piso.AI.Site",2012-03-15,46.70022,7.76755,1540,-11,-75
"28","Piso.AI.Site",2012-04-15,46.70022,7.76755,1540,-11.8,-86
"29","Piso.AI.Site",2012-05-15,46.70022,7.76755,1540,-8.7,-59
"30","Piso.AI.Site",2012-06-15,46.70022,7.76755,1540,-7.1,-46
"31","Piso.AI.Site",2012-07-15,46.70022,7.76755,1540,-6,-34
"32","Piso.AI.Site",2012-08-15,46.70022,7.76755,1540,-6.2,-35
"33","Piso.AI.Site",2012-09-15,46.70022,7.76755,1540,-8.7,-55
"34","Piso.AI.Site",2012-10-15,46.70022,7.76755,1540,-11.5,-79
"35","Piso.AI.Site",2012-11-15,46.70022,7.76755,1540,-15.3,-116
"36","Piso.AI.Site",2012-12-15,46.70022,7.76755,1540,-13.5,-98
"37","Piso.AI.Site",2013-01-15,46.70022,7.76755,1540,-14.4,-107
"38","Piso.AI.Site",2013-02-15,46.70022,7.76755,1540,-16.1,-122
"39","Piso.AI.Site",2013-03-15,46.70022,7.76755,1540,-15.5,-115
"40","Piso.AI.Site",2013-04-15,46.70022,7.76755,1540,-11.6,-82
"41","Piso.AI.Site",2013-05-15,46.70022,7.76755,1540,-11.4,-79
"42","Piso.AI.Site",2013-06-15,46.70022,7.76755,1540,-8.6,-58
"43","Piso.AI.Site",2013-07-15,46.70022,7.76755,1540,-7.6,-50
"44","Piso.AI.Site",2013-08-15,46.70022,7.76755,1540,-6.7,-40
"45","Piso.AI.Site",2013-09-15,46.70022,7.76755,1540,-8,-51
"46","Piso.AI.Site",2013-10-15,46.70022,7.76755,1540,-10.5,-78
"47","Piso.AI.Site",2013-11-15,46.70022,7.76755,1540,-13.9,-103
"48","Piso.AI.Site",2013-12-15,46.70022,7.76755,1540,-16.4,-114
"49","Piso.AI.Site",2014-01-15,46.70022,7.76755,1540,-15.7,-116
"50","Piso.AI.Site",2014-02-15,46.70022,7.76755,1540,-14,-101
"51","Piso.AI.Site",2014-03-15,46.70022,7.76755,1540,-13.2,-104
"52","Piso.AI.Site",2014-04-15,46.70022,7.76755,1540,-11.4,-83
"53","Piso.AI.Site",2014-05-15,46.70022,7.76755,1540,-8.8,-61
"54","Piso.AI.Site",2014-06-15,46.70022,7.76755,1540,-6.4,-43
"55","Piso.AI.Site",2014-07-15,46.70022,7.76755,1540,-9.3,-61
"56","Piso.AI.Site",2014-08-15,46.70022,7.76755,1540,-7.8,-51
"57","Piso.AI.Site",2014-09-15,46.70022,7.76755,1540,-8.1,-49
"58","Piso.AI.Site",2014-10-15,46.70022,7.76755,1540,-8.7,-54
"59","Piso.AI.Site",2014-11-15,46.70022,7.76755,1540,-17.5,-126
"60","Piso.AI.Site",2014-12-15,46.70022,7.76755,1540,-13.3,-100
"61","Piso.AI.Site",2015-01-15,46.70022,7.76755,1540,-13.4,-94
"62","Piso.AI.Site",2015-02-15,46.70022,7.76755,1540,-16,-115
"63","Piso.AI.Site",2015-03-15,46.70022,7.76755,1540,-10.5,-80
"64","Piso.AI.Site",2015-04-15,46.70022,7.76755,1540,-10.7,-76
"65","Piso.AI.Site",2015-05-15,46.70022,7.76755,1540,-9.3,-65
"66","Piso.AI.Site",2015-06-15,46.70022,7.76755,1540,-6.7,-43
"67","Piso.AI.Site",2015-07-15,46.70022,7.76755,1540,-5,-34
"68","Piso.AI.Site",2015-08-15,46.70022,7.76755,1540,-7.1,-46
"69","Piso.AI.Site",2015-09-15,46.70022,7.76755,1540,-8.6,-54
"70","Piso.AI.Site",2015-10-15,46.70022,7.76755,1540,-11.5,-81
"71","Piso.AI.Site",2015-11-15,46.70022,7.76755,1540,-12.6,-89
"72","Piso.AI.Site",2015-12-15,46.70022,7.76755,1540,-10.4,-67
"73","Piso.AI.Site",2016-01-15,46.70022,7.76755,1540,-13.2,-95
"74","Piso.AI.Site",2016-02-15,46.70022,7.76755,1540,-12.8,-94
"75","Piso.AI.Site",2016-03-15,46.70022,7.76755,1540,-13,-100
"76","Piso.AI.Site",2016-04-15,46.70022,7.76755,1540,-10.6,-74
"77","Piso.AI.Site",2016-05-15,46.70022,7.76755,1540,-10.9,-77
"78","Piso.AI.Site",2016-06-15,46.70022,7.76755,1540,-9.5,-69
"79","Piso.AI.Site",2016-07-15,46.70022,7.76755,1540,-6.1,-35
"80","Piso.AI.Site",2016-08-15,46.70022,7.76755,1540,-6.6,-42
"81","Piso.AI.Site",2016-09-15,46.70022,7.76755,1540,-9.1,-61
"82","Piso.AI.Site",2016-10-15,46.70022,7.76755,1540,-10.2,-67
"83","Piso.AI.Site",2016-11-15,46.70022,7.76755,1540,-13.3,-95
"84","Piso.AI.Site",2016-12-15,46.70022,7.76755,1540,-12,-88
"85","Piso.AI.Site",2017-01-15,46.70022,7.76755,1540,-14.5,-109
"86","Piso.AI.Site",2017-02-15,46.70022,7.76755,1540,-12.5,-92
"87","Piso.AI.Site",2017-03-15,46.70022,7.76755,1540,-9.7,-72
"88","Piso.AI.Site",2017-04-15,46.70022,7.76755,1540,-9.2,-68
"89","Piso.AI.Site",2017-05-15,46.70022,7.76755,1540,-9.3,-61
"90","Piso.AI.Site",2017-06-15,46.70022,7.76755,1540,-6.3,-44
"91","Piso.AI.Site",2017-07-15,46.70022,7.76755,1540,-6.3,-40
